/home/esteban/Desktop/test_ransom/ OPEN,ISDIR 
/home/esteban/Desktop/test_ransom/ ACCESS,ISDIR 
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE,ISDIR 
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test4.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test4.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test4.txt
/home/esteban/Desktop/test_ransom/ OPEN test4.txt
/home/esteban/Desktop/test_ransom/ ACCESS test4.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt
/home/esteban/Desktop/test_ransom/ CREATE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt
/home/esteban/Desktop/test_ransom/ ACCESS test4.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test4.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test4.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test4.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test4.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test4.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test4.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test4.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test4.txt
/home/esteban/Desktop/test_ransom/ CREATE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test5.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test5.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test5.txt
/home/esteban/Desktop/test_ransom/ OPEN test5.txt
/home/esteban/Desktop/test_ransom/ ACCESS test5.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt
/home/esteban/Desktop/test_ransom/ CREATE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt
/home/esteban/Desktop/test_ransom/ ACCESS test5.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test5.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test5.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test5.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test5.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test5.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test5.txt
/home/esteban/Desktop/test_ransom/ CREATE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test1.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test1.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test1.txt
/home/esteban/Desktop/test_ransom/ OPEN test1.txt
/home/esteban/Desktop/test_ransom/ ACCESS test1.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt
/home/esteban/Desktop/test_ransom/ CREATE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt
/home/esteban/Desktop/test_ransom/ ACCESS test1.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test1.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test1.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test1.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test1.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test1.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test1.txt
/home/esteban/Desktop/test_ransom/ CREATE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test2.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test2.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test2.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test2.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test2.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test2.txt
/home/esteban/Desktop/test_ransom/ OPEN test2.txt
/home/esteban/Desktop/test_ransom/ ACCESS test2.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt
/home/esteban/Desktop/test_ransom/ CREATE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test2.txt
/home/esteban/Desktop/test_ransom/ ACCESS test2.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt
/home/esteban/Desktop/test_ransom/ OPEN test2.txt.crswap
/home/esteban/Desktop/test_ransom/ MODIFY test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_WRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ OPEN test2.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ ACCESS test2.txt.crswap
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE test2.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_FROM test2.txt.crswap
/home/esteban/Desktop/test_ransom/ MOVED_TO test2.txt
/home/esteban/Desktop/test_ransom/ ATTRIB test2.txt
/home/esteban/Desktop/test_ransom/ OPEN test1.txt
/home/esteban/Desktop/test_ransom/ OPEN,ISDIR 
/home/esteban/Desktop/test_ransom/ ACCESS,ISDIR 
/home/esteban/Desktop/test_ransom/ ACCESS,ISDIR 
/home/esteban/Desktop/test_ransom/ ACCESS test1.txt
/home/esteban/Desktop/test_ransom/ CLOSE_NOWRITE,CLOSE,ISDIR 

